Archivo,Valor Min,Valor Max,Valor Medio,Tipo de Variable
SHDI_raster.tif,0.0,4.6051702,4.41747,continua
B2_autumn_mean_raster.tif,649.74,5966.17,1010.7539,continua
B2_autumn_sd_raster.tif,1.9694638,1639.2944,75.776695,continua
B2_spring_mean_raster.tif,669.08,10089.57,2354.4897,continua
B2_spring_sd_raster.tif,1.094338,3139.8325,383.49258,continua
B2_summer_mean_raster.tif,658.36,4778.48,973.66156,continua
B2_summer_sd_raster.tif,2.0275626,1336.0076,72.82274,continua
B2_winter_mean_raster.tif,769.44446,15176.48,3089.246,continua
B2_winter_sd_raster.tif,1.1,5466.7993,575.3408,continua
B3_autumn_mean_raster.tif,406.97,5937.1,920.75134,continua
B3_autumn_sd_raster.tif,1.905309,1814.3948,101.88107,continua
B3_spring_mean_raster.tif,451.15,9973.16,2273.771,continua
B3_spring_sd_raster.tif,4.982231,3212.7734,400.0363,continua
B3_summer_mean_raster.tif,469.01,5145.69,959.0577,continua
B3_summer_sd_raster.tif,2.2795534,1506.376,89.62119,continua
B3_winter_mean_raster.tif,462.61,15192.44,2800.2039,continua
B3_winter_sd_raster.tif,0.0,5611.6367,598.9242,continua
B4_autumn_mean_raster.tif,228.28,6420.01,857.24786,continua
B4_autumn_sd_raster.tif,1.5581652,2124.4922,135.57335,continua
B4_spring_mean_raster.tif,281.6,10563.23,2334.3499,continua
B4_spring_sd_raster.tif,4.1340666,3572.9292,455.01288,continua
B4_summer_mean_raster.tif,293.0,5992.12,825.93304,continua
B4_summer_sd_raster.tif,2.183501,1760.82,122.399765,continua
B4_winter_mean_raster.tif,264.2,16695.63,2869.8086,continua
B4_winter_sd_raster.tif,1.0672348,6410.076,686.0819,continua
cSDI_raster.tif,0.0,1.0,0.0135503635,continua
iSDI_raster.tif,1.0,inf,inf,continua
nclust_raster.tif,1.0,18.0,5.624222,continua
